GLOBAL;GLOBAL_HOMEPAGE;Startseite
HOMEPAGE;GLOBAL_PAGE_TITLE;Maps4Print - Karten online bestellen
HOMEPAGE;GLOBAL_PAGE_TITLE_EXTRA;
HOMEPAGE;GLOBAL_PAGE_KEYWORDS;osm, vektor-karte, kartographie, kartografie, online-karte, karte druck
HOMEPAGE;GLOBAL_PAGE_DESCRIPTION;Bestellen Sie zum günstigen Preis lizenzfreie Vektor-Karten mit Ihrem persönlichen Stil- schon ab 49€. Inklusive Beratung, GPX-Tracks und manuelle Kartographie auf Wunsch.
HOMEPAGE;GLOBAL_PAGE_LANGUAGE;de
HOMEPAGE;SECTION_1_HEADER;Karten soweit das Auge reicht
HOMEPAGE;SECTION_1_DESC;Maps4Print ist ein Online-Kartografiedienst, der Ihnen die Suche nach der richtigen Karte abnimmt. Ob Übersichtskarten, Landkarten, Atlanten - hier finden Si garantiert die richtige Karte.
HOMEPAGE;SECTION_1_IMAGE_ALT;Maps4Print Webanwendung
HOMEPAGE;SECTION_1_SEARCH_PLACEHOLDER;Ihre Stadt suchen…
HOMEPAGE;SECTION_2_HEADER;Vektorkarten ohne Nutzungsbeschränkungen
HOMEPAGE;SECTION_2_DESC;Unsere Karten sind standardmäßig für Adobe Illustrator® optimiert, nach Ebenen separiert und sofort per Download verfügbar. Durch die Nutzung von kostenlose OpenStreetMap-Daten können wir weltweit Karten erstellen – ohne Nutzungskosten!
HOMEPAGE;SECTION_2_IMAGE_ALT;Kartenbeispiel – Ebenenseparierte Karte in Adobe Illustrator®
HOMEPAGE;SECTION_3_HEADER_1;Eine große Auswahl an Kartenstilen
HOMEPAGE;SECTION_3_DESC_1;Mit über 30 individuell anpassbaren Stilen finden Sie garantiert die richtige Karte. Unser einfach zu bedienender Karteneditor hilft Ihnen bei der richtige Auswahl – hier können Sie nach Belieben Ebenen an- und ausschalten. Unsere intelligente Software optimiert dabei die Schriften im Hintergrund.
